Nom de la gare;Code UIC;Total Voyageurs + Non voyageurs 2022;Total Voyageurs + Non voyageurs 2021;Total Voyageurs + Non voyageurs 2020;Total Voyageurs + Non voyageurs 2019
Civrieux-d'Azergues;721746;4821;4208;4584;6347
Cize - Bolozon;743344;1145;916;964;1481
Clelles - Mens;747626;19784;32942;16136;22305
Clerval;184622;60473;44025;39726;52180
Cognac;491449;198190;117180;106436;184047
Colmar;182014;4611225;3580781;2884133;4719957
Colombier-Fontaine;184556;15399;10744;10622;14534
Colomiers Lycée International;611921;198184;167647;173458;218356
Commercy;175257;266036;194237;148298;228414
Condat - Le Lardin;594382;28892;21220;15934;28351
Conlie;396218;53288;39419;33225;64332
Corbigny;696617;8237;4451;3962;6542
Corcy;272286;3;2;3;0
Corgoloin;713537;13671;8681;12146;15088
Cornil;594481;7553;5149;3418;4762
Corps-Nuds;471326;15503;7225;3307;3533
Corrèze;594119;4566;4184;3271;4298
Cosne-sur-Loire;696146;262209;189920;145387;202688
Coucy-lès-Eppes;171769;10099;9545;7023;5811
Couëron;481804;57885;42387;33555;56980
Couffoulens - Leuc;615120;826;2054;1613;368
Couilly - Saint-Germain - Quincy;116731;84535;110500;9391;102343
Couliboeuf;444232;0;0;0;346
Courcelles-le-Comte;342063;1465;1272;703;102
Courcelles-sur-Nied;192211;24671;20659;16959;22931
Courcy - Brimont;171710;31723;23216;20987;20326
Cousance;718270;14606;10231;5889;7077
Coutances;447110;304653;206698;146471;217728
Crépy - Couvron;296152;4207;3363;2223;2684
Créteil Pompadour;608802;6412258;6072149;1904409;7763379
Croix L'Allumette;281055;1635;848;731;1029
Culoz;741074;326146;245044;189548;326085
Dettwiller;212183;169124;145725;127770;169824
Dingé;478040;12371;9842;7880;11488
Dissay;575191;31250;24292;23302;25212
Dommartin - Lissieu;721738;10570;12679;13235;12140
Dompierre Sept Fons;696427;19909;13852;9188;14413
Donjeux;142273;5355;3560;3815;3588
Drap - Cantaron;756775;39518;23847;23792;46557
Drefféac;476770;7301;4871;3737;7414
Dreux;393488;1664604;1374568;1149307;2008116
Druye;571612;20760;13126;10637;16989
Dugny - La Courneuve T11;697342;1220226;977745;220312;464595
Dunkerque;281006;2116944;1571548;1379970;2146399
Duppigheim;214536;115654;110016;90922;138972
Durtol - Nohanent;641449;984;708;539;606
Égletons;594168;39086;35886;28707;31577
Elne;784207;76307;58495;36863;65786
Embrun;763466;135853;90116;75453;137493
Entraigues-sur-la-Sorgue;765826;75136;59518;39335;79583
Épinal;144006;1722493;1269375;1011386;1396339
Épinay - Villetaneuse;271122;15327902;13345015;5582345;12886698
Ermont - Eaubonne;276055;21728297;20302286;12240896;22636877
Esches;272096;47065;40101;32345;44886
Essonnes Robinson;681601;232520;207462;101432;281500
Estavar;784827;228;255;138;181
Estrées-Saint-Denis;313387;57584;47579;35533;49403
Esvres sur Indre;571422;24551;22226;17079;25371
Eurville;175141;443;456;795;844
Évry Val de Seine;681361;755215;587153;416528;914295
Exideuil;592881;0;0;0;0
Eymoutiers Vassivière;592121;48263;41359;34711;44042
Faremoutiers - Pommeuse;116277;222979;225734;50530;269998
Fépin;172874;4670;4478;4484;3555
Fère-en-Tardenois;171371;0;77;309;1578
Fleurville - Pont-de-Vaux;725663;19130;16566;11707;14190
Foëcy;576108;33780;24973;21722;27253
Foix;611616;353759;242830;148675;269634
Fontainebleau - Avon;682211;3194698;5827647;1999331;3867663
Fontan - Saorge;756858;4980;1692;2583;5109
Foucart - Alvimare;413377;6551;3389;2059;7306
Fouquereuil;342204;1438;1275;1055;1632
Fourmies;295048;212482;161211;145503;233839
Francheville;722702;88685;74017;57723;79040
Frépillon;276659;363719;316578;92066;353741
Fromental;592360;1522;973;584;373
Fronville;175075;333;514;1289;1526
Futuroscope;324095;211814;118243;93094;192114
Gadagne;765446;17090;7649;4237;9321
Gaillac;615252;425891;366628;287638;329121
Gap;763003;327734;250699;194806;365426
Garancières - La Queue;393439;273442;266885;147010;328859
Gargenville;381566;551656;465970;186439;355165
Gazeran;393348;237147;190279;119283;287054
Gazinet Cestas;582403;489519;386067;303105;459191
Geispolsheim;212258;55912;43304;36750;61437
Gennevilliers;271205;1672742;1206798;563830;2025274
Gertwiller;214254;31548;27928;22647;26369
Gestel;476309;12822;8391;5461;8441
Gien;684290;182427;134222;102555;159748
Gignac - Cressensac;594325;276;154;39;116
Gilly-sur-Loire;694869;5989;4166;3469;3741
Gironde-sur-Dropt;582858;4333;4266;3107;3176
Givors Canal;722439;89834;80547;56247;70452
Goussainville;276246;4313975;2004993;2643838;5227952
Goxwiller;214270;26170;22316;19059;28766
Grande-Synthe;281311;11328;10262;7703;6507
Grandvilliers;313734;82200;64382;50401;43744
Gresswiller;214593;207644;167991;159916;211292
Groslay;276360;1461451;1315983;537702;1583612
Gunsbach - Griesbach;182386;20096;14184;15724;19337
Hagondange;191114;1484939;1090267;872958;1289074
Harfleur;413302;3806;3944;3338;4761
Haubourdin;286096;64790;51198;40675;61310
Haussmann Saint-Lazare;281899;32617013;29676067;10027494;47687285
Haute Picardie TGV;313882;400178;335592;246978;468805
Hendaye;677005;487238;309145;223715;429575
Herblay;381889;3356330;2982632;1702962;3341643
Herchies;313692;6915;4076;2344;2949
Héricourt;184507;229808;167525;154923;185342
Herny;193383;8312;6950;5431;8999
Herrlisheim;212340;223258;172575;147257;214085
Hirson;295063;182770;129465;86861;128238
Hoenheim Tram;338517;60439;54922;55669;75183
Hoffen;213447;13869;10899;8548;11441
Hyères;755629;699072;572805;365960;532361
Hymont - Mattaincourt;144220;0;354;761;1058
Ingersheim Cité Scolaire;303875;7020;11943;18930;19495
Ingwiller;213785;310715;245424;198564;257900
Issoire;734202;569497;471128;411109;573560
Issy Val de Seine;393306;4807552;2531839;2303136;5823421
Iteuil;577403;14456;10316;7509;10228
Jeumont;295014;72986;62954;62713;92964
Joigny;683243;484710;372102;289459;436044
Jonchery-sur-Vesle;171314;122546;94269;81555;76262
Jonzac;491142;158824;117921;78908;144671
Juan les Pins;757666;837466;609298;452532;811048
Juvisy-sur-Orge;545244;33271111;41887674;21871129;40222510
Kerhostin;476432;2919;2121;1838;1782
Keskastel;215491;52193;49182;47041;33261
Kogenheim;214114;29617;24428;22068;28436
Krimmeri Meinau;338525;211590;163885;149166;206425
La Bachellerie;595595;1;0;165;935
La Baule Les Pins;481697;35086;35611;23454;28368
La Chaize-le-Vicomte;486308;1616;191;557;3890
La Chapelle-Saint-Mesmin;543371;11192;6870;5215;12272
La Chapelle-sur-Loire;571802;4016;3319;1519;1931
La Charité-sur-Loire;696195;242225;181554;156014;168644
La Défense;382218;35649320;24737930;6688269;30264172
La Ferté-Bernard;396325;338346;255281;190489;360698
La Forest-Landerneau;474221;72930;70489;71590;74192
La Fresnais;478081;18801;12790;9665;15788
