Nom de la gare;Code UIC;Total Voyageurs + Non voyageurs 2022;Total Voyageurs + Non voyageurs 2021;Total Voyageurs + Non voyageurs 2020;Total Voyageurs + Non voyageurs 2019
Abbaretz;481614;40825;27466;22773;38473
Ablon-sur-Seine;545269;1203692;1594567;660309;1457253
Achères Grand Cormier;386052;177092;209673;126513;221003
Acheux - Franleu;316745;2;0;0;2
Aigrefeuille le Thou;485193;51200;32989;24987;31170
Aigueperse;734129;70599;55143;50677;75954
Aillevillers;185629;5628;5715;8639;7348
Ailly-sur-Somme;313098;167119;141082;131401;168438
Albias;613398;26119;19376;11378;11386
Albigny - Neuville;721266;334939;251269;188123;240974
Allée Royale T13;710913;0;0;0;0
Amplepuis;721035;393599;306500;257831;396420
Andelot-en-Montagne;715102;25960;9982;4698;5782
Angers Maître École;484048;33549;23674;18317;23126
Angerville;543090;151343;130031;75617;183224
Anzeling;191387;1081;1789;1560;1591
Arbanats;582726;51865;50805;46502;58138
Arc-et-Senans;718841;77323;56289;47438;55544
Arcy-sur-Cure;683680;4514;3008;2568;2752
Argenteuil;381848;16033835;14527144;8206484;16219640
Argenton-sur-Creuse;597120;248958;181533;148238;192154
Arles;753657;887836;670183;407461;784438
Arnage;396549;10403;8831;7963;12703
Arrou;394486;11613;9504;7471;8096
Aubazines - Saint-Hilaire;594465;9738;6209;5011;8137
Aubiat;734111;7790;5672;5053;8809
Aubigny-au-Bac;345447;28473;23090;25519;50636
Aubrives;172122;11188;9456;9818;10424
Auch;611749;326457;243249;189485;282088
Auray;476200;1387621;1084849;779322;1109909
Auterive;611384;445175;376961;323167;429473
Auxonne;713347;452762;323215;308332;373690
Avord;576439;53799;39421;28256;35132
Avoudrey;718551;22034;10155;13740;21973
Aytré Plage;437806;13419;9707;7205;11310
Azay-le-Rideau;571638;112458;76788;66667;84578
Azerailles;141408;11158;8498;7448;10951
Babinière;590349;67175;40701;43160;81461
Bagneaux-sur-Loing;684191;24011;28521;13759;29663
Bagnols-sur-Cèze;764571;18495;0;0;0
Balsièges Bourg;111864;26;0;16;12
Bannalec;474189;41701;29217;25645;28103
Bantzenheim;182840;6457;5363;4662;7285
Barenton-Bugny;297291;11089;9498;6211;6141
Bas Évette;184200;11503;6392;3614;6821
Bassens;581850;60486;38136;23363;39149
Bayard;175133;119;145;193;981
Bayon;141218;203777;159316;133612;174983
Bayonne;673004;1485538;1123893;742168;1065319
Baziège;611723;94556;72192;52111;55961
Beautiran;582700;431898;315190;236712;343921
Beauvoir-sur-Niort;485342;38082;29514;25176;26170
Bédarieux;781609;35301;23592;16035;13726
Belfort;184002;1556870;1135358;969907;1405671
Bena Fanes;784892;86;46;23;78
Bénestroff;192302;10350;8422;7919;11223
Bernay;444299;611847;451551;378426;536302
Béziers;781005;1863381;1490913;1039108;1411274
Biache-Saint-Vaast;342097;63288;47484;37582;61097
Biarritz;673400;914333;787878;539919;714274
Bièvres;393546;352463;280066;172854;426162
Bischoffsheim;214296;148646;127641;116231;166309
Boisset;645184;368;78;13;61
Boissy-l'Aillerie;381152;255631;237004;88484;207727
Bolquère - Eyne;784801;4537;3333;2147;1965
Bondy;113407;14605023;11082849;7412905;12574385
Bonnemain;478065;5434;3107;3261;4671
Boran-sur-Oise;276444;41848;34587;24170;41161
Boulainvilliers;543181;2585668;1151507;723394;3130349
Boulazac;725473;17196;4401;53;0
Bourg-Bruche;214775;9285;7693;8323;7947
Bourg-en-Bresse;743005;2271153;1816363;1517618;2213109
Bourges;576207;1435032;1036525;769469;1225164
Bourgoin-Jallieu;723429;1923271;1439055;961337;1933201
Bourgtheroulde - Thuit-Hébert;415323;11589;8528;5189;2424
Bouthéon;726216;38939;34858;26961;43426
Brandérion;476242;11356;6799;7003;8446
Brassac-les-Mines - Sainte-Florine;734244;139761;107615;94671;127959
Breil-sur-Roya;756833;67208;27475;32917;70196
Brélidy - Plouëc;473827;3917;3841;5021;4787
Bretenoux - Biars;594762;21440;12182;9375;15092
Bréval;381624;308723;247376;127358;324134
Brignac;592063;249;120;64;98
Broye;694166;6581;5014;5732;4836
Bussac-Forêt;491191;3818;3217;2216;2918
Busseau sur Creuse;597708;1484;1187;628;551
Calais - Fréthun;281071;860109;621322;519605;967139
Calonne-Ricouart;342543;30702;20684;9333;54456
Cannes;757625;5539725;3972577;2826747;5028517
Capdenac;613109;164724;121278;82518;107834
Carantilly - Marigny;447144;0;0;0;0
Carbonne;611061;377253;272274;239915;302718
Carnoles;756478;847231;663468;516055;851257
Carpentras;765735;345290;288951;204661;392321
Castelsarrasin;611897;114255;90966;61749;76508
Cattenières;345587;397;271;248;544
Cergy Saint-Christophe;382499;6961854;7818214;5544432;7560627
Cessieu;723452;53457;34699;24956;33073
Ceyzériat;743302;5267;3769;3169;6762
Chabanais;592873;0;0;16;2255
Chabenet;597112;135;121;155;87
Chamarande;545152;146618;141799;89603;177504
Chambéry - Challes-les-Eaux;741009;5395317;3994932;3083693;4627258
Chamonix-Mont-Blanc;746784;213168;141980;125916;188349
Chamousset;741231;38042;29576;22831;25795
Champ de Courses d'Enghien;276030;1974639;1828450;943277;2096797
Champagne-Ardenne TGV;171926;1360170;943301;742286;1519210
Chanteloup-les-Vignes;381475;948491;826353;331726;719119
Chantenay-Saint-Imbert;696302;9463;10215;11116;7703
Chapeauroux;734343;1454;1153;611;707
Chaponval;276162;47276;35917;24510;55733
Chartrettes;682419;44116;58961;24561;53428
Châteaubourg;471524;686010;486621;448423;581537
Châteaudun;545756;180998;126726;85850;119897
Château-Renault;574665;101627;69991;52114;68702
Château-Thierry;116582;1977332;1588849;1274279;2121190
Châtel-Censoir;696856;6712;4143;3101;4959
Chauffailles;694778;42962;30737;24170;30581
Chaumont;142000;503063;368713;310448;490468
Chaumont-en-Vexin;381228;367580;320132;222146;388463
Chaville - Vélizy;393173;1243912;817000;538929;1505780
Cheilly-lès-Maranges;694398;17507;9269;11925;10672
Chelles - Gournay;116111;9379970;7258472;5503458;10874698
Chemillé-en-Anjou;484246;200435;145579;113372;196136
Chemin d'Antony;546317;330557;218101;187523;400187
Chenonceaux;574491;61257;39711;30101;45390
Cherbourg;444877;725893;516929;393452;711262
Chevaigné;471458;75065;45317;49121;55765
Chocques;342220;2735;3386;3389;5799
Cholet;484303;766311;564293;402313;624853
Chorges;763425;26842;19939;13473;26500
Chouzy-sur-Cisse;574301;738;818;475;751
Clamart;391565;1725465;1449316;931145;2089944
Clion sur Seugne;491134;0;0;0;17
Collonges - Fontaines;721225;120763;96969;70106;92646
Combourg;478057;471806;343522;271206;371925
Combs-la-Ville - Quincy;682146;3181458;3058556;1834253;3851637
Compans;272047;35359;33426;19210;38205
Conches-en-Ouche;387159;59946;46483;60470;110233
Condé-sur-Huisne;394288;24077;21903;15963;15552
Corbehem;345116;27638;22452;18911;29767
Cormery;571430;159289;136373;97280;121611
Corseul - Languenan;478180;1764;1875;1489;2584
Coudekerque-Branche;281402;11117;7865;9656;26533
Couiza - Montazels;615203;698;735;526;667
Courbevoie;382200;4387299;3799683;1951449;4250102
Courcay - Tauxigny;571448;3194;2941;3814;3709
Courtalain - Saint-Pellerin;394494;7012;5631;3804;4511
Coussac-Bonneval;592840;251;137;194;323
Cransac;613232;4989;3332;2310;3204
Creutzwald;193409;1386;31;842;2483
Croix du Prince;672600;5957;6093;4705;6884
Croix Sainte;753491;5138;3332;1310;3310
Crouy;271874;563;399;376;1011
Cuinchy;342410;34787;28381;28144;47390
Dannemarie;182253;97869;85930;73044;109780
Darsac;734673;2133;2160;2094;3386
Decize;696484;100407;74071;61224;94895
Dégagnac;613174;382;697;267;215
Deluz;718429;2682;1354;1240;1352
Dieppe;415018;911776;669507;537971;796347
Digoin;694695;31506;24798;18097;19319
Distroff;191320;25900;25583;17999;16867
Douai;345009;3705307;2890557;2450619;3811503
Drancy;271403;7412637;7692125;3993399;8976601
Drusenheim;212357;159999;121387;108641;155110
Duttlenheim;214544;198728;168502;152535;231471
Ecully - Tassin;721506;291342;254418;236351;279841
Éguzon-Chantôme;597153;10316;4941;1996;4960
Elbeuf - Saint-Aubin;411173;313772;238793;182359;312906
Éloyes;144436;41095;27531;22178;36583
Entzheim Aéroport;214528;419024;286373;232547;468577
Epfig;214221;37423;26908;21334;26024
Épierre - Saint-Léger;741280;31647;28467;24628;30020
Épouville;413732;1173;1125;895;1772
Err;784843;581;299;697;515
Étang-sur-Arroux;694141;105170;91060;76286;76539
Évian-les-Bains;745679;301728;209395;145024;214137
Évron;478552;185898;150103;116687;202621
Farbus;342527;1070;1072;2352;3655
Farschviller;193524;22573;21785;18309;19952
Fécamp;413542;220455;169762;134569;202546
Feuquières - Fressenneville;317503;860;864;1392;6453
Firminy;726729;287757;220674;166599;315135
Flaxlanden;181040;10067;7890;6326;9965
Folligny;447649;6633;4068;2163;4046
Fons - Saint-Mamert;775379;13997;14083;11709;23178
Fontenay-le-Fleury;393405;2614566;2142184;1461947;3165988
Fontpédrouse;784769;4448;3213;2240;3012
Fougeray - Langon;471201;21801;13835;12307;16822
Fourchambault;696229;25260;17302;14195;16850
Fraisses - Unieux;726737;1337;548;181;527
Franchet d'Esperey;417444;123709;80161;70769;73054
Franois;718304;9331;5658;6003;8215
Frévin-Capelle;342212;2396;1808;3906;4836
Fumay;172098;80873;62546;53838;69508
Gagny;113514;5305596;3268203;2469447;5094411
Gandrange - Amnéville;191742;3965;2916;1646;3235
Gannes;313262;2867;1921;1782;1790
Garchizy;691436;17;7;45;9
Garges - Sarcelles;276196;14813702;12826465;4696178;17937343
Genlis;713313;387349;269995;265968;304092
Génolhac;775213;31793;23565;19329;25944
Germaine;171587;20297;16565;13927;17553
Gilley;718577;25658;10390;13290;21293
Gimont Cahuzac;611772;59368;49236;37732;54608
Givet;172130;104593;75160;65458;81721
Glos - Montfort;415349;0;0;0;830
Golfe Juan Vallauris;757641;465500;364264;256873;457687
Goncelin;747477;379638;284655;254941;399451
Gorges;481432;75277;50908;37904;87678
Gournay - Ferrières;381293;8298;5111;3045;7125
Graffenstaden;212241;26235;18085;17816;33255
Gravelines;281246;42591;30628;26881;48190
Gravigny Balizy;393645;404265;156103;104735;489424
Grigny le Sablon;722298;117683;91360;70641;92875
Grisolles;611673;121958;98061;76876;88875
Gros Noyer Saint-Prix;276592;1634111;1480690;767868;1720304
Guignicourt;171736;197506;163266;151005;150359
Gujan-Mestras;582619;461936;374159;297840;445842
Habsheim;182089;230181;192264;201840;307386
Hachette;297523;26;18;11;8
Halte de Fontanil – Lycée de Drap;565143;46753;32867;23413;41034
Ham-en-Artois;342261;2550;2895;2413;2454
Hangest-sur-Somme;313114;45553;34438;32903;43635
Hasenrain;181024;0;0;0;0
Hautmont;295568;54912;41907;43155;83504
Hayange;191239;5315;6094;5225;8356
Heilly;316059;8233;6721;4490;5151
Hénin-Beaumont;345157;569834;439477;391428;632805
Herrlisheim-près-Colmar;182329;58589;54133;46806;51225
Hesdigneul-lès-Boulogne;317107;28112;25868;23801;30185
Hesdin;317222;45253;24016;4175;6425
Hombourg-Haut;193276;12961;8963;6757;10604
Houdan;393462;607515;577175;366492;809939
Issoudun;597062;246265;178972;150188;225644
Ivry-sur-Seine;545301;4107947;2718878;2174567;4974218
Jacques Monod la Demi-Lieue;413716;7077;7089;4865;7934
Janzé;471334;269481;180846;173173;200625
Jœuf;191700;42342;33378;26881;37612
Joncet;784710;101;76;54;111
Kalhausen;193664;14724;11747;7484;10784
Kerhuon;474213;39605;31808;35965;47127
Kuntzig;191312;1355;999;1135;929
La Barasse;635581;13658;10255;7390;10851
La Basse Indre - Saint-Herblain;481069;36375;26223;22448;35569
La Bastide - Saint-Laurent-les-Bains;775171;26451;21510;13692;23374
La Brillanne - Oraison;751271;30411;17477;12069;29036
La Chapelle-sur-Erdre;481564;29796;22876;18377;31155
La Chaumusse - Fort-du-Plasne;715391;1843;2335;1747;845
La Couronne Carro;753541;42629;25599;12542;25227
La Crau;755611;98175;69565;40643;64283
La Faloise;313239;10600;9743;7969;8722
La Fère;296632;146159;138427;118004;127943
La Frette - Montigny;381871;957431;877452;412039;863960
La Gouesnière - Cancale - Saint-Méloir-des-Ondes;478099;72140;48289;34881;49866
La Grand-Combe;775254;28946;22005;14586;18485
La Haie-Fouassière;481416;174908;127771;109882;191917
La Méaugon;473124;86;546;803;672
La Miouze - Rochefort;641290;1;0;3;226
La Pomme;751719;14500;14168;8093;8213
La Redonne Ensuès;753574;62581;43303;28337;46278
La Ricamarie;726703;13937;8736;5261;10351
La Rivière-Drugeon;715144;30392;28364;26061;24754
La Seyne - Six-Fours;755264;435754;361972;261435;401061
La Taye;394403;13116;9605;8999;10950
La Teste-de-Buch;582643;416190;341568;269877;406288
La Trinité Victor;756767;49685;31921;29036;61038
La Valbonne;723577;211394;158092;128045;201648
La Verpillière;723395;1295079;972106;758932;1171483
La Ville Gozet;641191;466;719;635;453
Lacelle;592147;1830;1528;870;1118
L'Aiguille;592634;3242;2301;1852;3261
Lamanon;753731;42006;33790;22952;39147
Lamballe;473108;763952;568307;436089;616629
Lamothe-Landerron;582882;1601;2647;2176;2617
Lamothe-Montravel;584151;9465;7936;4349;2920
Landébia;473264;1784;1342;1847;2057
Landerneau;474239;845381;620824;488568;699537
Lantenay;712323;17267;10431;11780;13643
Laon;296012;984957;792522;625531;823870
Lapeyrouse;641043;8109;5452;3137;5658
Larche;594424;3;0;13;44
Lardenne;611939;16374;10203;10484;11783
L'Argentière Les Écrins;763557;52309;35493;29970;45379
Lavaufranche;597740;936;408;251;518
Lavaur;615476;186640;154341;122839;171606
Lavoûte-sur-Loire;734707;12993;12389;8303;8833
Le Blanc-Mesnil;271478;3347231;3044176;2040928;4052899
Le Breuil-sur-Couze;734228;41661;31076;24702;28746
Le Buet;746883;2857;2262;1890;2074
Le Buisson-de-Cadouin;595751;45599;33183;23717;36727
Le Mans hôpital-université;32;0;0;0;0
Le Monastier-Pin-Moriès;783308;458;76;235;94
Le Pénity;473553;6674;4820;3235;2752
Le Pont-de-Beauvoisin;741470;207773;126284;111278;179897
Le Quesnoy;295857;529707;401249;380930;530612
Le Rouget;645192;6750;6491;3554;6155
Le Teich;582601;296461;226168;188000;262797
Le Teil;764472;7355;3480;3311;8047
Le Trayas;757575;12545;10088;6186;7145
Lentilly;721555;378265;313288;273796;417136
Les Aubrais;543017;1608173;1391664;1111009;1991155
Les Clairières de Verneuil;386664;459575;368213;194818;375772
Les Fontinettes;317305;28971;17846;14946;30715
Les Lacs;471516;19437;15451;13488;16383
Les Mureaux;386680;4588884;3678520;1739778;4212499
Les Perrières;691600;1369;521;487;1831
Les Rosiers-sur-Loire;487876;66880;55385;41186;60806
Les Sables-d'Olonne;486449;629142;474717;337733;489533
Les Versannes;595702;2636;1217;813;1600
L'Escarène;756809;28387;18129;17737;36730
L'Étang-la-Ville - Les Sablons;726109;0;0;0;0
Lexos;613489;14578;9756;6112;8511
Liancourt-Saint-Pierre;381210;26872;18934;14353;23845
Libercourt;345256;968555;749418;687783;1049609
Lille CHR;109306;390403;262454;240785;358773
Limay;381582;810884;756757;359551;671707
L'Isle-Jourdain;611806;369833;299817;258547;332085
Liverdun;141069;35166;24322;21124;29876
Livron-sur-Drôme;761247;82275;53716;41665;61938
Loches;571471;230739;239911;245235;289698
Longpont;271775;238;157;111;114
Longueau;313049;538449;409753;356867;594592
Lons-le-Saunier;718239;516123;398023;319292;424969
Loreux;576157;11593;5905;4520;4223
Loriol-sur-Drôme;761262;79347;56630;39667;62121
Lorraine TGV;142109;763582;650107;430973;1003056
Louhans;713735;33536;22091;19482;31418
Loulay;491290;896;1335;1553;2337
Loures - Barbazan;611178;1807;895;833;1329
Louroux-de-Bouble;641050;3290;2003;1987;2647
Lozanne;721423;430903;309166;233958;378829
Luant;597096;1741;1387;655;107
Lubersac;594671;218;190;297;293
Luçay-le-Mâle;576363;30316;20077;12396;12090
Lucé;394015;16305;14457;12514;20486
Ludon-Médoc;581181;60311;49986;37832;44365
Lumes;172189;20714;16835;16421;15942
Lurbe-Saint-Christau;672741;1053;1490;1443;2048
Lusignan;485540;54052;37893;31615;51159
Lutzelbourg;215160;70226;59383;50185;73763
Lutzelhouse;214650;173669;144287;133813;146189
Luzenac - Garanou;611558;11181;8402;5151;9222
Luzy;696534;35713;27943;18613;28921
Lycée Henri Sellier;988717;1648127;1320614;1621273;1335610
Lyon Saint-Exupéry TGV;762906;2083163;1755242;1397113;2991156
Lyon Vaise;721001;1142639;930965;638549;1103008
Magalas;781666;9554;4710;3285;3518
Magenta;281873;33045860;27478179;13462720;43016926
Magland;746412;30381;23993;18143;24673
Maisons-Alfort - Alfortville;681155;11252775;9556579;5704366;13624825
Maisse;681486;137968;179356;84596;167203
Mâlain;713065;62336;43075;36504;35042
Malesherbes;684415;336626;270366;224094;411354
Malling;191627;33;5;9;30
Manosque - Gréoux-les-Bains;751321;112491;90003;55457;113630
Marcelcave;313445;56264;46928;43568;50551
Mareil-Marly;382812;0;0;0;53506
Maresquel-Ecquemicourt;317206;2151;1346;1;0
Margut - Fromy;172411;239;46;195;57
Marly-le-Roi;382465;1881402;1725946;989390;1978907
Marmande;586545;676719;510087;377860;594124
Marquillies;342469;10440;8763;8753;18664
Marseillan Plage;781294;15658;11713;8269;10913
Martigues;753509;35042;25979;17300;40292
Marvejols;783282;17798;9613;9125;15747
Massy TGV;393702;4278065;2955965;2265388;3659500
Maule;381723;252944;281096;160657;305405
Maurecourt;381483;665925;601236;251355;519455
Maurois;345546;255;158;179;337
Maurs;645168;10054;7095;3962;7724
Mauves-sur-Loire;481150;32165;19867;10727;20802
Mauzac-et-Grand-Castang;584466;1476;474;169;335
Mayet;396580;23316;19727;16029;33455
Mazamet;615542;68204;52112;40290;55808
Menars;574244;544;69;32;58
Mérens-les-Vals;611525;6957;5259;1401;3473
Mériel;276675;401661;379076;150619;394514
Méroux;184408;62925;38720;23932;41272
Messac - Guipry;471185;412089;285225;240056;333603
Metz Nord;192070;48453;36995;25967;35065
Meurchin;345272;46325;31813;34147;75042
Meursault;713560;16073;7705;10755;18328
Meximieux - Pérouges;723585;894169;677700;575199;899254
Mézériat;725838;46871;44867;40104;41775
Milhac-d'Auberoche;595538;0;0;61;436
Milhaud;775098;3616;2728;1989;4354
Moirans;747329;996406;756250;607901;961138
Mommenheim;212142;322691;249332;211998;313139
Monnaie;574681;48872;26816;18587;29171
Montaignac-Saint-Hippolyte;594135;1908;1743;1507;1082
Montbard;713131;473007;385019;331562;463025
Montbizot;396044;30758;16647;12385;29840
Montbrison;726448;179185;130081;105568;185662
Montigny - Beauchamp;276089;4595524;4427028;2474993;4906007
Montigny-sur-Loing;684100;177306;132847;123409;214722
Montlaur;618207;3565;3822;2656;3826
Montluel;723569;509152;377446;326450;509568
Montmorillon;575480;42964;34892;31402;40196
Montpellier Sud de France;688887;2102296;1643035;1282317;1150191
Montrabé;611848;45468;39009;34704;40745
Montreuil sur Mer;317164;41868;20736;2242;2462
Montreux-Vieux;184275;72246;61878;56853;80973
Montville;411801;180091;148494;134173;174361
Moosch;182592;42549;35531;34358;41079
Morcenx;673103;292438;236183;173160;216259
Moulins sur Allier;696328;877294;689278;534566;838641
Mulhouse;182063;6653057;5361433;4485393;7000488
Mulhouse Dornach;182055;233659;177488;148729;229479
Mullerhof;214643;7531;6460;6121;8058
Munster;182394;285307;265177;257017;306775
Namps - Quevauvillers;313379;1381;1366;413;459
Nançois - Tronville;175067;1191;891;664;866
Nanterre Université;386318;8029557;6434071;95902;6286199
Négrondes;595132;7557;4890;1806;2425
Neuves-Maisons;141507;34792;21389;13677;26275
Neuvy-Pailloux;597070;18570;14712;9523;9799
Nevers Le Banlay;559070;84156;68827;61090;45742
Nézel - Aulnay;381731;68248;67723;36842;82508
Nîmes Pont du Gard;703975;932292;737579;506358;18919
Niolon;753582;65602;44390;27090;34070
Noisy-le-Roi;393876;0;0;0;237626
Novillars;718411;6281;3500;3548;5509
Noyon;276782;758814;647023;535861;719033
Nuits sous Ravières;713156;43191;30584;22087;34707
Oderen;182634;23064;18495;16780;20299
Oissel;411207;404946;293765;226749;414710
Orangis Bois de l'Épine;681346;2087412;1691900;1131701;2527170
Orgerus - Béhoust;393447;184840;156359;99230;223446
Osny;381145;493755;440124;184327;404587
Osséja;784868;800;418;360;422
Ossès - Saint-Martin-d'Arrossa;673707;5840;5413;3342;3406
Oyonnax;743534;125454;108542;81885;102677
Pagny-le-Château;713669;12001;7235;9037;9308
Paris Austerlitz;547000;20309128;22814864;13602554;22423095
Paris Saint-Lazare;384008;137214119;122002923;152624513;143120561
Peille;756791;17444;9254;8434;15368
Penhoët;321745;64777;46245;39787;50651
Petit-Croix;184267;25955;19990;16419;18014
Peyrilhac - Saint-Jouvent;592428;1191;734;268;275
Picon Busserine;759290;14851;10272;4073;5253
Pierre-Buffière;592253;19554;20151;21915;20396
Pierrefitte - Stains;271163;10628690;9196051;4800915;9921222
Pierrelatte;764308;332324;284023;233791;358800
Pins-Justaret;618116;160970;145465;110027;156641
Plerguer;478123;1728;515;116;613
Plougonver;473538;6494;4720;3700;4433
Pommevic;618058;0;0;0;28
Pont Cardinet;381111;7490334;6257223;3309895;6759706
Pont de Briques;317115;2047;2093;1501;3964
Pont de Dore;734459;49245;40437;37081;58791
Pont de Rungis Aéroport d'Orly;546192;565341;453089;253935;684422
Pont du Garigliano - Hôpital Européen Georges Pompidou;393322;2199909;1568414;1365313;2663328
Pont Petit;276154;235584;257836;116823;300226
Pontarlier;715003;321619;255354;227475;226216
Pont-à-Vendin;345264;95291;60636;51875;82222
Pont-de-l'Arche;415661;8398;5916;6016;8975
Pont-de-Veyle;725804;53491;45046;33863;43215
Pont-du-Casse;586404;0;156;360;711
Pontgibaud;641316;1;22;55;39
Pont-Saint-Vincent;141523;48496;31182;27541;35726
Pornic;481283;207613;149450;106737;148639
Port-de-Bouc;753459;38498;25404;17886;43749
Portets;582718;123754;103146;86776;121322
Prades - Molitg-les-Bains;784637;20067;14130;4349;2701
Prouvy - Thiant;343418;2278;1559;878;1246
Puget-Ville;755363;23967;21907;14026;17979
Puyoô;672279;60356;48583;33039;43793
Quesnoy-le-Montant;317487;0;0;0;96
Quimperlé;476317;518806;382174;285425;380958
Rambouillet;393314;3874743;3141742;2237887;4690955
Reignac-sur-Indre;571455;14273;18956;23223;35201
Rezé Pont Rousseau;481036;229682;174903;143936;230736
Ribeauvillé;182279;80;0;0;0
Ribécourt;276766;128703;113866;87888;94451
Rivarennes;571653;27365;15135;16259;21814
Rive-de-Gier;726331;850458;634698;524603;885048
Rivesaltes;784173;129029;97363;63974;85145
Roanne;726802;1180323;972149;773940;1174154
Rodez;613422;331760;221257;166618;227285
Rognac;753251;279006;223101;193113;277445
Rombas - Clouange;191734;58928;49059;41738;67381
Roppenheim;212415;17120;10661;9793;12481
Roquebrune-Cap-Martin;756460;112595;77252;57143;90870
Roquesérière - Buzet;615351;468;770;813;1016
Rosny Bois Perrier;113696;5348239;4959155;3206275;6404337
Rosny-sur-Seine;415885;416761;334211;200417;496083
Rouen Rive Droite;411017;8306106;5844806;4846305;7659797
Rougemont Chanteloup;431791;1642841;1316379;2664824;1916809
Rountzenheim;212373;40769;30467;22632;31261
Route de Launaguet;611954;183;298;196;0
Rully;712026;37542;20718;29406;28812
Russ Hersbach;214684;83263;64459;54688;63451
Saint-André-de-Cubzac;491241;776077;580035;467716;724717
Saint-Armel;471318;9486;4317;2892;3120
Saint-Astier;595249;226137;176971;134342;175159
Saint-Aubin - Saint-Luperce;394213;23878;17062;14947;18501
Saint-Aulaire;594622;5077;2954;1828;1401
Saint-Ay;574129;26166;14189;9396;19804
Saint-Blaise-la-Roche Poutay;214742;55525;39027;34872;42757
Saint-Brieuc;473009;2013580;1484366;1121325;1675242
Saint-Claude;743633;34580;22075;14553;33828
Saint-Cloud;382358;8275307;7302705;4434121;9074757
Saint-Cyprien;595777;14472;10430;7121;5546
Saint-Cyr Les Lecques - La Cadière;755215;377958;311936;244459;350268
Saint-Cyr-en-Val La Source;543116;75227;40964;31852;67204
Saint-Cyr-l'École;393223;3907455;3074076;2275378;4730879
Sainte-Cécile-d'Andorge;775239;1493;1081;831;1044
Sainte-Foy-la-Grande;584193;265856;207941;166045;167615
Saint-Émilion;584102;121804;61842;43398;82269
Saint-Fargeau;682542;99778;114066;56040;120792
Saint-Fons;728501;79274;61551;48401;71582
Saint-Georges-d'Aurac;734301;12809;10356;3143;5363
Saint-Geours-de-Maremne;673269;8147;8253;6453;5511
Saint-Germain - Saint-Rémy;393520;0;0;0;0
Saint-Germain-au-Mont-d'Or;721282;461731;340945;269883;408397
Saint-Germain-en-Laye Bel-Air - Fourqueux;366922;0;0;0;241825
Saint-Germain-en-Laye Grande Ceinture;382804;0;0;0;159479
Saint-Gildas-des-Bois;476762;32703;22282;16340;33328
Saint-Hilaire - Saint-Nazaire;761684;92489;63464;43997;73432
Saint-Hilaire-de-Chaléons;481234;26154;17864;14462;22733
Saint-Hilaire-sur-Helpe;297531;21;107;44;729
Saint-Jean-de-Losne;713651;65862;43560;44316;53468
Saint-Laurent-d'Aigouze;775841;2259;1940;863;425
Saint-Léonard;144477;266;707;1435;4653
Saint-Léonard-de-Noblat;592071;36609;26360;23970;36509
Saint-Loubès;584730;134418;96221;81190;97492
Saint-Médard-d'Eyrans;582692;82136;69304;47390;72449
Saint-Nabord;146217;10246;6162;4724;6705
Saint-Nazaire;481705;1411060;1077709;784778;1197788
Saint-Omer-en-Chaussée;313718;8454;5610;4458;4522
Saint-Patrice;571810;21129;15087;9345;10059
Saint-Pé-de-Bigorre;671362;93;104;97;303
Saint-Pierre-des-Corps;571240;4731000;3647916;2652070;4637645
Saint-Pierre-la-Cour;478768;38897;29585;23633;55467
Saint-Pol-sur-Ternoise;342337;182431;131356;105673;216213
Saint-Quentin;296004;1509991;1220364;967754;1365654
Saint-Romain-de-Popey;721456;18455;13970;11245;20021
Saint-Rome-de-Cernon;783431;3345;1346;943;1656
Saint-Saviol;575365;37650;29328;23456;33056
Saint-Sulpice - Izon;584722;118208;85894;69344;97161
Saint-Sulpice (Tarn);615344;720474;621840;535043;594900
Saint-Victor - Thizy;721043;27710;23935;18210;20748
Saint-Yrieix-la-Perche;592824;26703;21986;12447;25400
Salbris;543165;361874;249122;173861;262216
Salon-de-Provence;753764;322737;271148;196734;313998
Sarralbe;193714;2754;1415;973;3224
Sarrance;672766;1571;1468;1021;1771
Sarrebourg;215012;930972;775020;619102;894035
Sausset-les-Pins;753558;69814;45374;34153;69283
Savonnières;571844;2399;2244;1409;2262
Savy-Berlette;342253;23412;22947;29700;29712
Sceaux - Boëssé;396317;7451;3926;4197;5483
Schirmeck - La Broque;214692;444430;380456;336803;372537
Schopperten;215483;19397;17440;16907;12720
Schwindratzheim;212159;79794;67825;56972;77435
Sens;683003;1568798;1201842;973381;1437451
Séon Saint-Henri;751636;0;0;0;63
Serdinya;784702;418;340;151;142
Serquigny;444315;31539;23483;15653;28003
Sèvres - Ville-d'Avray;382341;2602668;2383399;775329;2607842
Sierck-les-Bains;191635;4111;2528;1760;2189
Simandre-sur-Suran;743336;11488;13088;15407;18630
Simiane;751438;187939;128512;107806;187767
Sin-le-Noble;345405;27058;27606;27972;67533
Siorac-en-Périgord;595769;15901;10457;3943;7951
Solliès-Pont;755330;100993;84376;46303;73277
Souillac;594333;170363;131847;102922;136407
Souppes - Château-Landon;684217;563770;597864;375480;691753
Steinbourg;212209;21947;47457;62913;61815
Sucé-sur-Erdre;590828;206843;152465;129119;243822
Suèvres;574236;219;53;49;170
Survilliers - Fosses;276261;1745412;1587227;911984;2126297
Sury-le-Comtal;726422;28997;20619;13371;21113
Tagolsheim;181057;0;0;0;0
Taillebourg;491043;0;0;0;663
Taverny;276634;1535829;1429505;714243;1602736
